iter	Passed	Remaining
0	134	134698
1	135	67727
2	136	45337
3	137	34193
4	138	27546
5	139	23049
6	139	19842
7	140	17445
8	141	15569
9	142	14061
10	142	12838
11	143	11822
12	144	10952
13	144	10208
14	145	9568
15	146	9004
16	147	8505
17	147	8069
18	148	7677
19	149	7319
20	150	6996
21	150	6706
22	151	6438
23	152	6190
24	152	5962
25	153	5754
26	154	5559
27	155	5382
28	155	5216
29	156	5064
30	157	4918
31	158	4779
32	158	4651
33	159	4530
34	160	4413
35	160	4304
36	161	4202
37	162	4106
38	162	4014
39	163	3925
40	164	3846
41	165	3766
42	165	3689
43	166	3616
44	167	3548
45	168	3484
46	168	3419
47	169	3358
48	170	3304
49	171	3249
50	171	3195
51	172	3147
52	173	3098
53	174	3049
54	174	3002
55	175	2960
56	176	2917
57	177	2875
58	177	2836
59	178	2801
60	179	2763
61	180	2727
62	181	2698
63	182	2664
64	182	2630
65	183	2600
66	184	2570
67	185	2539
68	186	2510
69	187	2484
70	187	2458
71	188	2431
72	189	2405
73	190	2380
74	190	2354
75	191	2330
76	192	2308
77	193	2285
78	193	2261
79	194	2238
80	195	2216
81	196	2195
82	196	2170
83	197	2149
84	197	2130
85	198	2110
86	199	2090
87	199	2071
88	200	2053
89	201	2035
90	202	2018
91	202	2000
92	203	1983
93	204	1967
94	204	1951
95	205	1934
96	206	1918
97	206	1903
98	207	1888
99	208	1873
100	208	1859
101	210	1849
102	210	1836
103	211	1822
104	212	1808
105	212	1795
106	213	1783
107	214	1769
108	214	1756
109	215	1744
110	216	1732
111	216	1719
112	217	1708
113	218	1697
114	219	1686
115	219	1674
116	220	1662
117	221	1652
118	222	1643
119	222	1632
120	223	1622
121	223	1610
122	224	1600
123	225	1591
124	225	1581
125	226	1572
126	227	1562
127	227	1553
128	228	1544
129	229	1534
130	230	1525
131	230	1517
132	231	1508
133	231	1499
134	232	1491
135	233	1482
136	234	1474
137	234	1467
138	235	1461
139	236	1453
140	237	1445
141	237	1436
142	238	1430
143	239	1422
144	239	1414
145	240	1407
146	241	1400
147	242	1393
148	242	1386
149	243	1379
150	244	1372
151	244	1365
152	245	1358
153	246	1352
154	246	1345
155	247	1339
156	248	1333
157	248	1326
158	249	1320
159	250	1314
160	250	1307
161	251	1301
162	252	1294
163	253	1289
164	253	1284
165	254	1278
166	255	1272
167	255	1267
168	256	1261
169	257	1256
170	257	1250
171	258	1245
172	259	1240
173	260	1235
174	260	1229
175	261	1224
176	262	1219
177	263	1214
178	263	1209
179	264	1204
180	265	1199
181	265	1194
182	266	1189
183	267	1185
184	267	1180
185	268	1175
186	269	1171
187	270	1167
188	271	1163
189	271	1158
190	272	1153
191	273	1149
192	273	1145
193	274	1140
194	275	1136
195	275	1131
196	276	1127
197	277	1123
198	278	1119
199	278	1115
200	279	1111
201	280	1106
202	280	1102
203	281	1098
204	282	1095
205	283	1090
206	283	1087
207	284	1083
208	285	1079
209	285	1075
210	286	1071
211	287	1068
212	288	1064
213	288	1060
214	289	1057
215	290	1053
216	291	1051
217	291	1047
218	292	1043
219	293	1040
220	294	1036
221	294	1033
222	295	1030
223	296	1026
224	297	1023
225	297	1019
226	298	1016
227	299	1013
228	300	1010
229	300	1006
230	301	1003
231	302	1000
232	303	997
233	303	994
234	304	991
235	305	987
236	305	984
237	306	980
238	307	977
239	307	974
240	308	971
241	309	968
242	309	965
243	310	962
244	311	959
245	311	956
246	312	953
247	313	950
248	314	947
249	314	944
250	315	941
251	316	938
252	316	935
253	317	932
254	318	929
255	319	927
256	319	924
257	320	921
258	321	918
259	321	916
260	322	913
261	323	910
262	324	908
263	324	905
264	325	903
265	326	900
266	327	898
267	327	895
268	328	892
269	329	890
270	330	888
271	330	885
272	331	882
273	332	880
274	332	877
275	333	875
276	334	872
277	334	869
278	335	867
279	336	865
280	337	862
281	337	860
282	338	857
283	339	855
284	339	852
285	340	850
286	341	848
287	342	845
288	342	843
289	343	841
290	344	838
291	344	836
292	345	834
293	346	831
294	347	829
295	347	827
296	348	825
297	349	822
298	350	820
299	350	818
300	351	816
301	352	814
302	353	812
303	353	809
304	354	807
305	355	805
306	355	803
307	356	800
308	357	798
309	357	796
310	358	794
311	359	792
312	359	789
313	360	787
314	361	785
315	361	783
316	362	781
317	363	778
318	363	776
319	364	774
320	365	772
321	366	770
322	366	768
323	367	766
324	368	764
325	368	762
326	369	760
327	370	758
328	371	756
329	371	754
330	372	752
331	373	750
332	373	748
333	374	746
334	375	744
335	376	743
336	376	741
337	377	739
338	377	736
339	378	735
340	379	733
341	380	731
342	380	729
343	381	727
344	382	725
345	382	723
346	383	721
347	384	719
348	384	717
349	385	716
350	386	713
351	386	712
352	387	710
353	388	708
354	388	706
355	389	704
356	390	702
357	390	701
358	391	699
359	392	697
360	393	695
361	393	693
362	394	692
363	395	690
364	396	689
365	396	687
366	397	685
367	398	683
368	398	682
369	399	680
370	400	678
371	401	677
372	402	675
373	402	674
374	403	672
375	404	671
376	405	669
377	405	667
378	406	665
379	407	664
380	407	662
381	408	661
382	409	659
383	410	658
384	411	656
385	411	655
386	412	653
387	413	651
388	413	650
389	414	648
390	415	646
391	416	645
392	416	643
393	417	642
394	418	640
395	419	639
396	419	637
397	420	636
398	421	634
399	422	633
400	423	631
401	423	630
402	424	628
403	425	627
404	425	625
405	426	623
406	427	622
407	427	620
408	428	618
409	429	617
